Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/18/2026,"POS DEBIT                AMAZON MKTPLACE PMTS      AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        0647",-14.62,MISC_DEBIT, ,,
DEBIT,05/18/2026,"POS DEBIT                AMAZON MKTPLACE PMTS      AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        0647",-42.39,MISC_DEBIT, ,,
DEBIT,05/18/2026,"POS DEBIT                AMAZON MKTPLACE PMTS      AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        0647",-40.28,MISC_DEBIT, ,,
DEBIT,05/18/2026,"POS DEBIT                AMAZON.COM                AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        0647",-2.98,MISC_DEBIT, ,,
DEBIT,05/18/2026,"POS DEBIT                APPLE.COM/BILL            866-712-7753 CA                                                                                                                                                                                                                                                                        4726",-40.62,MISC_DEBIT, ,,
CREDIT,05/18/2026,"ONLINE TRANSFER FROM SAV ...9301 TRANSACTION#: 29243403807",2000.00,ACCT_XFER, ,,
DEBIT,05/16/2026,"POS DEBIT                UBER * EATS PENDING      San Francisc  CA                                                                                                                                                                                                                                                                        4726",-70.20,MISC_DEBIT, ,,
DEBIT,05/16/2026,"POS DEBIT                COSTCO RX #0332          PITTSBURGH    PA",-8.87,MISC_DEBIT, ,,
CREDIT,05/18/2026,"ONLINE TRANSFER FROM GMR ...3259 TRANSACTION#: 29240827107",45.00,ACCT_XFER, ,,
DEBIT,05/15/2026,"Online Transfer to GMR ...3259 transaction#: 29237807240 05/15",-60.00,ACCT_XFER,3663.85,,
DEBIT,05/15/2026,"NEWREZ-SHELLPOIN ACH PMT                    PPD ID: 6371542226",-2099.91,ACH_DEBIT,3723.85,,
DEBIT,05/15/2026,"Online Transfer to GMR ...3259 transaction#: 29235153467 05/15",-10.00,ACCT_XFER,5823.76,,
DEBIT,05/15/2026,"PAYPAL           PURCHASE   STEAM GAMES     WEB ID: PAYPALSI77",-26.74,ACH_DEBIT,5833.76,,
DEBIT,05/15/2026,"CANON HILL VETERINARY 724-7460128 PA         05/14",-90.00,DEBIT_CARD,5860.50,,
DEBIT,05/14/2026,"Online Transfer to CHK ...5269 transaction#: 29217772395 05/14",-60.00,ACCT_XFER,5950.50,,
DEBIT,05/14/2026,"Online Transfer to GMR ...3259 transaction#: 29216563912 05/14",-10.00,ACCT_XFER,6010.50,,
DEBIT,05/14/2026,"SHANTI BLISS WELLNES WWW.SHANTIBLI PA        05/14",-20.00,DEBIT_CARD,6020.50,,
DEBIT,05/14/2026,"Online Transfer to GMR ...3259 transaction#: 29210268462 05/14",-10.00,ACCT_XFER,6040.50,,
DEBIT,05/14/2026,"APPLE.COM/BILL 866-712-7753 CA               05/14",-7.48,DEBIT_CARD,6050.50,,
DEBIT,05/14/2026,"APPLE.COM/BILL 866-712-7753 CA               05/14",-21.04,DEBIT_CARD,6057.98,,
