Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,05/05/2026,"Online Transfer from CHK ...4765 transaction#: 29098676291",4000.00,ACCT_XFER,37852.45,,
DEBIT,05/04/2026,"Online Transfer to CHK ...4765 transaction#: 29074882971 05/04",-2000.00,ACCT_XFER,33852.45,,
CREDIT,04/24/2026,"Online Transfer from CHK ...4765 transaction#: 28950786484",260.40,ACCT_XFER,35852.45,,
CREDIT,04/22/2026,"INTEREST PAYMENT",0.55,MISC_CREDIT,35592.05,,
DEBIT,04/20/2026,"Online Transfer to CHK ...4765 transaction#: 28906659580 04/20",-6327.35,ACCT_XFER,35591.50,,
CREDIT,04/08/2026,"SBTPG PRODUCTS   SBTPG LLC                  PPD ID: 3722260102",14824.69,ACH_CREDIT,41918.85,,
CREDIT,03/23/2026,"INTEREST PAYMENT",0.14,MISC_CREDIT,27094.16,,
DEBIT,03/23/2026,"COMMWLTHOFPAPATH PAINDIVLTX PATH19314982    WEB ID: 1236003133",-15.00,ACH_DEBIT,27094.02,,
CREDIT,03/23/2026,"Online Transfer from CHK ...4765 transaction#: 28531871873",20000.00,ACCT_XFER,27109.02,,
DEBIT,03/17/2026,"Online Transfer to CHK ...4765 transaction#: 28468176523 03/17",-4000.00,ACCT_XFER,7109.02,,
CREDIT,03/05/2026,"Online Transfer from CHK ...4765 transaction#: 28317350243",4000.00,ACCT_XFER,11109.02,,
CREDIT,02/24/2026,"INTEREST PAYMENT",0.16,MISC_CREDIT,7109.02,,
DEBIT,02/09/2026,"NON-CHASE ATM WITHDRAW               323818  02/07160 MILLE",-303.50,ATM,7108.86,,
DEBIT,02/09/2026,"Online Transfer to CHK ...4765 transaction#: 27987039908 02/09",-4000.00,ACCT_XFER,7412.36,,
DEBIT,02/06/2026,"ODP TRANSFER TO CHECKING  ...4765",-1134.78,ACCT_XFER,11412.36,,
DEBIT,02/06/2026,"Online Transfer to CHK ...4765 transaction#: 27973258385 02/06",-2000.00,ACCT_XFER,12547.14,,
CREDIT,01/26/2026,"INTEREST PAYMENT",0.38,MISC_CREDIT,14547.14,,
DEBIT,01/26/2026,"NON-CHASE ATM WITHDRAW               392124  01/25160 MILLE",-463.50,ATM,14546.76,,
DEBIT,01/26/2026,"ATM WITHDRAWAL                       006728  01/241163 WASH",-1000.00,ATM,15010.26,,
DEBIT,01/21/2026,"Online Transfer to CHK ...4765 transaction#: 27781330484 01/21",-5000.00,ACCT_XFER,16010.26,,
CREDIT,12/31/2025,"Online Transfer from CHK ...4765 transaction#: 27529630662",4000.00,ACCT_XFER,21010.26,,
DEBIT,12/30/2025,"Online Transfer to CHK ...4765 transaction#: 27512014144 12/30",-4000.00,ACCT_XFER,17010.26,,
CREDIT,12/22/2025,"INTEREST PAYMENT",0.31,MISC_CREDIT,21010.26,,
DEBIT,11/26/2025,"Online Transfer to CHK ...4765 transaction#: 27100200346 11/26",-5000.00,ACCT_XFER,21009.95,,
CREDIT,11/25/2025,"INTEREST PAYMENT",0.26,MISC_CREDIT,26009.95,,
CREDIT,11/21/2025,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-021214891  FROM: Intuit Payments Inc. FBO Refund Process REF: 6934388c02fb47269714 INFO: TEXT-  IID: 20251121021214273P1BV0RH31108916928 RECD: 11:08:23 TRN: 0844552325GE",13333.64,MISC_CREDIT,26009.69,,
CREDIT,11/03/2025,"Online Transfer from CHK ...4765 transaction#: 26826677848",4100.00,ACCT_XFER,12676.05,,
DEBIT,10/31/2025,"Online Transfer to CHK ...4765 transaction#: 26787768031 10/31",-2000.00,ACCT_XFER,8576.05,,
DEBIT,10/29/2025,"Online Transfer to CHK ...4765 transaction#: 26761714052 10/29",-4100.00,ACCT_XFER,10576.05,,
CREDIT,10/23/2025,"INTEREST PAYMENT",0.24,MISC_CREDIT,14676.05,,
CREDIT,09/23/2025,"INTEREST PAYMENT",0.16,MISC_CREDIT,14675.81,,
CREDIT,09/04/2025,"IRS  TREAS 310     TAX REF                  PPD ID: 9111036170",14412.00,ACH_CREDIT,14675.65,,
